Unique_Investment_Identifier,Business_Case ID,Agency_Code,Agency_Name,Investment_Title,Project_ID,Agency_Project_ID,Project_Name,Duration_Year,Project_Status,Start_Date,Completion_Date,Planned_Project_Completion_Date,Projected_Actual_Project_Completion_Date,Schedule_Variance,Schedule_Variance,Lifecycle_Cost,Planned_Cost,Projected_Actual_Cost,Cost_Variance,Cost_Variance,Updated_Date,Updated_Time,Unique_Project_ID
027-000000052,872,27,Office of Personnel Management,USA Staffing System,186,,FY12 Contingency Plan Test and Update,0,onTime,2012-01-04T00:00:00Z,2012-04-30T00:00:00Z,2012-04-30T00:00:00Z,2012-04-30T00:00:00Z,0,0,0.015,0.015,0.016493,-0.001493,-9.95,2012-05-21T00:00:00Z,06:29:39,8
027-000000052,872,27,Office of Personnel Management,USA Staffing System,187,,FY12 EOD Update 1201*,1,delay,2011-04-10T00:00:00Z,2012-06-03T00:00:00Z,2012-06-03T00:00:00Z,2012-04-15T00:00:00Z,-40,-25.97,0.651,0.651,0.62643,0.02457,3.77,2012-05-21T00:00:00Z,06:29:39,9
024-000005064,307,24,Department of Homeland Security,CBP - Tactical Communications (TACCOM) Modernization,188,172268,Houlton,4,delay,2008-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-07-31T00:00:00Z,2012-11-30T00:00:00Z,-122,-16.05,125.49,60.776,64.618,-3.842,-6.32,2012-08-22T00:00:00Z,04:14:10,3
024-000005064,307,24,Department of Homeland Security,CBP - Tactical Communications (TACCOM) Modernization,189,172267,El Paso,1,delay,2010-09-29T00:00:00Z,2012-06-10T00:00:00Z,2012-03-10T00:00:00Z,2013-04-30T00:00:00Z,-209,-56.49,107.16,7.74,7.5,0.24,3.1,2012-07-24T00:00:00Z,04:11:36,1
024-000005064,307,24,Department of Homeland Security,CBP - Tactical Communications (TACCOM) Modernization,190,172271,Rio Grande Valley,2,delay,2010-04-11T00:00:00Z,2012-10-17T00:00:00Z,2012-07-31T00:00:00Z,2012-10-23T00:00:00Z,-84,-13.23,90.93,33.853,34.083,-0.23,-0.68,2012-08-22T00:00:00Z,04:14:10,2
024-000005064,307,24,Department of Homeland Security,CBP - Tactical Communications (TACCOM) Modernization,191,172269,Digital in Place,2,delay,2011-09-30T00:00:00Z,2013-09-30T00:00:00Z,2011-09-30T00:00:00Z,2013-03-29T00:00:00Z,-546,-54600,328.24,19.5,19.5,0,0,2012-06-28T00:00:00Z,04:17:33,4
024-000003038,320,24,Department of Homeland Security,USCIS - Naturalization - CLAIMS 4,192,176566,CLAIMS 4 Release 8.5,1,delay,2010-10-21T00:00:00Z,2011-10-23T00:00:00Z,2011-10-23T00:00:00Z,2011-10-30T00:00:00Z,-7,-1.91,0.9,0.9,0.604,0.296,32.89,2011-11-30T00:00:00Z,11:03:10,4
024-000003038,320,24,Department of Homeland Security,USCIS - Naturalization - CLAIMS 4,193,180173,CLAIMS 4 Release 8.6,1,delay,2011-05-12T00:00:00Z,2012-07-22T00:00:00Z,2012-07-18T00:00:00Z,2012-07-20T00:00:00Z,-2,-0.89,0.9,0.9,0.55,0.35,38.89,2012-07-31T00:00:00Z,04:11:29,5
024-000003038,320,24,Department of Homeland Security,USCIS - Naturalization - CLAIMS 4,194,180186,CLAIMS 4 Release 8.7,0,onTime,2012-06-08T00:00:00Z,2013-02-28T00:00:00Z,,,0,0,0.9,0.9,0.9,0,0,2011-11-30T00:00:00Z,11:03:11,6
024-000003038,320,24,Department of Homeland Security,USCIS - Naturalization - CLAIMS 4,195,180187,CLAIMS 4 Security,2,delay,2010-01-10T00:00:00Z,2012-09-30T00:00:00Z,2011-12-30T00:00:00Z,2012-03-16T00:00:00Z,-77,-42.31,0.1,0.1,0.1,0,0,2012-04-30T00:00:00Z,12:39:42,7
024-000003038,320,24,Department of Homeland Security,USCIS - Naturalization - CLAIMS 4,196,180740,Release 8.5.0.1,1,delay,2011-01-11T00:00:00Z,2012-06-30T00:00:00Z,,,-187,-159.83,0.2,0.2,0.2,0,0,2012-05-30T00:00:00Z,04:19:11,8
024-000003038,320,24,Department of Homeland Security,USCIS - Naturalization - CLAIMS 4,197,180738,Lean Agile Release 8.5.1.0,0,onTime,2011-10-30T00:00:00Z,2011-12-18T00:00:00Z,2011-12-18T00:00:00Z,2011-12-18T00:00:00Z,0,0,0.075,0.075,0.066,0.009,12,2011-12-23T00:00:00Z,04:45:31,9
024-000003038,320,24,Department of Homeland Security,USCIS - Naturalization - CLAIMS 4,198,180737,Lean Agile Release 8.5.2.0,0,delay,2011-11-21T00:00:00Z,2012-01-29T00:00:00Z,2012-01-15T00:00:00Z,2012-01-29T00:00:00Z,-14,-25.45,0.075,0.075,0.042,0.033,44,2012-02-29T00:00:00Z,05:18:24,10
024-000003038,320,24,Department of Homeland Security,USCIS - Naturalization - CLAIMS 4,199,180739,Lean Agile Release 8.5.3.0,0,onTime,2012-01-01T00:00:00Z,2012-02-25T00:00:00Z,2012-02-25T00:00:00Z,2012-02-25T00:00:00Z,0,0,0.075,0.075,0.026,0.049,65.33,2012-03-28T00:00:00Z,05:07:33,11
024-000005116,303,24,Department of Homeland Security,CBP - Land Border Integration (LBI),200,172247,LBI Phase 1,1,delay,2010-01-10T00:00:00Z,2011-12-31T00:00:00Z,2011-11-30T00:00:00Z,2012-04-30T00:00:00Z,-152,-100,23.348,20.893,15.699,5.194,24.86,2012-06-26T00:00:00Z,04:16:30,2
024-000009530,150,24,Department of Homeland Security,NPPD - FPS Risk Assessment and Management Program,201,177612,RAMP Maintenance Support,1,onTime,2011-10-06T00:00:00Z,2012-12-31T00:00:00Z,2012-12-31T00:00:00Z,2012-12-31T00:00:00Z,0,0,3.43,3.43,2.256,1.174,34.23,2012-08-19T00:00:00Z,10:05:47,1
024-000009530,150,24,Department of Homeland Security,NPPD - FPS Risk Assessment and Management Program,202,177613,FPS Modified Infrastructure Survey Tool (MIST) Development,3,onTime,2011-03-10T00:00:00Z,2014-03-31T00:00:00Z,,,0,0,2.5,2.5,2.312,0.188,7.52,2012-05-31T00:00:00Z,12:19:21,2
024-000009530,150,24,Department of Homeland Security,NPPD - FPS Risk Assessment and Management Program,203,177611,FPS Gateway Development and Deployment,3,onTime,2011-03-10T00:00:00Z,2014-03-31T00:00:00Z,,,0,0,10,3.35,3.319,0.031,0.93,2012-05-31T00:00:00Z,12:19:21,3
024-000009530,150,24,Department of Homeland Security,NPPD - FPS Risk Assessment and Management Program,204,177614,Follow-on Assessment Tool Development and Deployment,1,onTime,2012-01-10T00:00:00Z,2013-12-31T00:00:00Z,,,0,0,12,6.3,6.3,0,0,2012-02-28T00:00:00Z,09:57:38,4
024-000005138,316,24,Department of Homeland Security,CBP - Advance Passenger Information System (APIS),226,178427,Advance Passenger Information System,14,onTime,2001-01-10T00:00:00Z,2015-09-30T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,0,0,142.787,3.695,3.272,0.423,11.45,2012-08-22T00:00:00Z,04:14:28,1
027-000000053,600,27,Office of Personnel Management,USAJOBS,227,,USAJOBS 3.0,6,onTime,2010-01-10T00:00:00Z,2016-09-30T00:00:00Z,,,0,0,84,11.556,11.321564,0.234436,2.03,2012-08-23T00:00:00Z,10:58:00,1
027-000000019,598,27,Office of Personnel Management,EPIC Operations and Maintenance (O &amp; M),228,,2012 Maintenance Patches,0,onTime,2012-01-06T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,10.282,10.282,10.282,0,0,2012-06-28T00:00:00Z,20:04:35,1
027-000000019,598,27,Office of Personnel Management,EPIC Operations and Maintenance (O &amp; M),229,,Maintenance Prior to 2012,3,onTime,2008-01-10T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0,0,101.548,48.562,45.729,2.833,5.83,2012-01-25T00:00:00Z,08:47:11,2
027-000000020,597,27,Office of Personnel Management,EPIC Transformation,230,,New Base Technology,3,onTime,2008-01-10T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0,0,322.78,45.359,40.293,5.066,11.17,2012-02-28T00:00:00Z,08:41:30,1
027-000000020,597,27,Office of Personnel Management,EPIC Transformation,231,,Legacy Migration,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,,,0,0,22.2935,22.2934,22.2934,0,0,2012-02-28T00:00:00Z,08:41:30,2
027-000000020,597,27,Office of Personnel Management,EPIC Transformation,232,,Post Deployment Stabilization,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,,,0,0,4.084,4.084,4.084,0,0,2011-09-16T00:00:00Z,10:39:55,3
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),233,,IT Modernization Change Management Planning,1,delay,2010-09-30T00:00:00Z,2011-12-15T00:00:00Z,2011-12-15T00:00:00Z,2011-12-16T00:00:00Z,-1,-0.39,2.010908,0.55,0.548,0.002,0.36,2012-04-13T00:00:00Z,07:38:25,359401
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),234,,IT Modernization Enterprise Architecture,1,onTime,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0,0,1.598,0.2,0.2,0,0,2012-02-23T00:00:00Z,07:04:58,359402
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),235,,Data Center Consolidation Initiative (DCCI),5,delay,2010-01-03T00:00:00Z,2015-09-30T00:00:00Z,,,-189,-43.35,18.14645,3.9,3.9,0,0,2012-08-13T00:00:00Z,07:12:22,359403
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),236,,Manage Trusted Internet Protocol Services (MTIPS),2,delay,2010-03-15T00:00:00Z,2012-09-30T00:00:00Z,2012-09-28T00:00:00Z,2012-09-30T00:00:00Z,-2,-0.44,1,0.9,0.945173,-0.045173,-5.02,2012-12-07T00:00:00Z,12:42:43,359404
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),237,,Internet Protocol v6 (IPv6),2,delay,2010-01-10T00:00:00Z,2012-09-28T00:00:00Z,,,-35,-6.41,0.47,0.469,0.580496,-0.111496,-23.77,2012-08-13T00:00:00Z,07:12:22,359405
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),238,,Email as a Service (EaaS),1,delay,2011-01-05T00:00:00Z,2012-09-30T00:00:00Z,2012-09-28T00:00:00Z,2013-09-30T00:00:00Z,-367,-80.66,6,4.35,4.35,0,0,2012-08-13T00:00:00Z,07:12:23,359406
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),239,,Mobile Computing,2,delay,2011-01-09T00:00:00Z,2013-09-30T00:00:00Z,,,-4,-0.88,1.5,1.42,1.42,0,0,2012-08-13T00:00:00Z,07:12:22,359407
024-000005632,178,24,Department of Homeland Security,TSA - FAMS Mission Scheduling and Notification System (MSNS),240,176308,Scheduling software modernization,2,delay,2012-01-03T00:00:00Z,2014-01-04T00:00:00Z,2012-01-05T00:00:00Z,2012-08-31T00:00:00Z,-122,-214.04,5,0.02,0.02,0,0,2012-08-21T00:00:00Z,04:12:10,1
024-000005632,178,24,Department of Homeland Security,TSA - FAMS Mission Scheduling and Notification System (MSNS),241,176310,DC2 migration,1,delay,2011-09-30T00:00:00Z,2012-12-31T00:00:00Z,2012-08-30T00:00:00Z,2012-11-15T00:00:00Z,-77,-22.99,9,0.76,1.16,-0.4,-52.63,2012-08-21T00:00:00Z,04:12:10,2
024-000005632,178,24,Department of Homeland Security,TSA - FAMS Mission Scheduling and Notification System (MSNS),242,176309,Hardware Modernization,2,delay,2009-01-06T00:00:00Z,2012-01-04T00:00:00Z,2012-03-15T00:00:00Z,2012-05-31T00:00:00Z,-77,-28.1,6.5,1.45,1.49,-0.04,-2.76,2012-06-28T00:00:00Z,04:17:34,3
024-000005632,178,24,Department of Homeland Security,TSA - FAMS Mission Scheduling and Notification System (MSNS),243,179385,IRIS production integration,1,advance,2012-09-30T00:00:00Z,2013-09-30T00:00:00Z,,,152,41.64,0.75,0.75,0.75,0,0,2012-02-29T00:00:00Z,09:27:50,4
024-000005632,178,24,Department of Homeland Security,TSA - FAMS Mission Scheduling and Notification System (MSNS),244,179387,ARES production integration,0,advance,2012-09-30T00:00:00Z,2013-01-08T00:00:00Z,,,219,71.8,0.75,0.75,0.75,0,0,2012-02-29T00:00:00Z,09:27:50,5
024-000005632,178,24,Department of Homeland Security,TSA - FAMS Mission Scheduling and Notification System (MSNS),245,179386,Portal Modernization,1,delay,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,2011-12-25T00:00:00Z,2012-09-30T00:00:00Z,-280,-158.19,1.2,1.2,1.2,0,0,2012-02-29T00:00:00Z,09:27:50,6
024-000005632,178,24,Department of Homeland Security,TSA - FAMS Mission Scheduling and Notification System (MSNS),246,179388,FAMIS Modernization,1,delay,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,2012-01-05T00:00:00Z,2013-01-13T00:00:00Z,-257,-84.26,2,2,2,0,0,2012-05-29T00:00:00Z,04:22:29,7
024-000005606,169,24,Department of Homeland Security,TSA - TSA Operating Platform (TOP),247,176585,Enterprise Applications,1,delay,2011-01-07T00:00:00Z,2012-07-25T00:00:00Z,2012-07-24T00:00:00Z,2012-07-24T00:00:00Z,-38,-9.77,0.234,0.234,0.234,0,0,2012-03-30T00:00:00Z,03:10:22,1
024-000005606,169,24,Department of Homeland Security,TSA - TSA Operating Platform (TOP),248,176589,Applications Development,1,delay,2011-01-03T00:00:00Z,2012-07-31T00:00:00Z,2012-07-31T00:00:00Z,2012-07-31T00:00:00Z,-31,-5.98,2.206,2.206,2.206,0,0,2012-06-26T00:00:00Z,04:16:24,2
024-000005352,137,24,Department of Homeland Security,ICE - Detention and Removal Operations Modernization,250,173229,Risk Classification Assessment (formerly CRS),1,delay,2011-01-31T00:00:00Z,2012-03-17T00:00:00Z,2012-01-31T00:00:00Z,2012-07-21T00:00:00Z,-172,-47.12,2.62,2.62,5.385,-2.765,-105.53,2012-08-22T00:00:00Z,04:14:25,1001004
024-000005352,137,24,Department of Homeland Security,ICE - Detention and Removal Operations Modernization,251,174030,EARM 4.0,1,advance,2011-10-18T00:00:00Z,2012-10-31T00:00:00Z,,,6,1.58,4,4,4,0,0,2012-08-22T00:00:00Z,04:14:25,1007008
024-000005352,137,24,Department of Homeland Security,ICE - Detention and Removal Operations Modernization,252,174029,EARM 3.0 Release 2,1,advance,2010-01-07T00:00:00Z,2011-10-31T00:00:00Z,2011-10-31T00:00:00Z,2011-08-19T00:00:00Z,73,26.74,8.44,2,2,0,0,2012-03-28T00:00:00Z,05:07:34,1007004
024-000005056,304,24,Department of Homeland Security,CBP - SAP,253,176011,SAP Budget Solution Upgrade,0,advance,2011-03-01T00:00:00Z,2012-01-06T00:00:00Z,2012-01-06T00:00:00Z,2012-09-05T00:00:00Z,23,4.47,13.379,13.379,13.379,0,0,2012-06-28T00:00:00Z,04:17:38,1
024-000005056,304,24,Department of Homeland Security,CBP - SAP,254,176012,SAP Support Patches,1,delay,2011-07-11T00:00:00Z,2012-12-03T00:00:00Z,2012-12-03T00:00:00Z,2012-03-17T00:00:00Z,-5,-3.97,1.35,1.35,1.35,0,0,2012-07-27T00:00:00Z,04:37:32,2
027-999991219,596,27,Office of Personnel Management,EHRI electronic Official Personnel Folder (eOPF),268,,Electronic Official Personnel Folder (eOPF),12,onTime,2004-01-10T00:00:00Z,2016-09-30T00:00:00Z,,,0,0,557.27,44.12332,41.029145,3.094175,7.01,2012-02-03T00:00:00Z,08:37:44,eOPF
393-000000031,789,393,National Archives and Records Administration,Archives and Records Center Information System (ARCIS),269,31.1,Develop and Implement Increment 5 - Workflow Engineering.,1,onTime,2011-09-17T00:00:00Z,2012-09-16T00:00:00Z,2012-09-16T00:00:00Z,2012-09-16T00:00:00Z,0,0,0.35,0.35,0.32,0.03,8.57,2012-07-27T00:00:00Z,14:06:59,1
393-000000031,789,393,National Archives and Records Administration,Archives and Records Center Information System (ARCIS),270,31.2,Develop and Implement Increment 5 - Reports.,1,onTime,2011-09-17T00:00:00Z,2012-09-16T00:00:00Z,2012-09-16T00:00:00Z,2012-09-16T00:00:00Z,0,0,0.237,0.237,0.236,0.001,0.42,2012-07-27T00:00:00Z,14:06:59,2
393-000000031,789,393,National Archives and Records Administration,Archives and Records Center Information System (ARCIS),271,31.3,Develop and Implement Increment 5 - Registry Phase 2,1,onTime,2011-09-17T00:00:00Z,2012-09-16T00:00:00Z,,,0,0,0.85,0.85,0.846,0.004,0.47,2012-07-27T00:00:00Z,14:06:59,3
393-000000004,792,393,National Archives and Records Administration,Case Management and Reporting System (CMRS),272,4.1,CMRS Upgrade,2,delay,2010-01-10T00:00:00Z,2012-07-29T00:00:00Z,,,-33,-7.64,1.98,1.31,1.267,0.043,3.28,2012-07-27T00:00:00Z,14:06:59,1
393-000000038,795,393,National Archives and Records Administration,Holdings Management System (HMS),282,38.1,Deployment to Regional Archives #8,0,delay,2011-03-10T00:00:00Z,2011-09-12T00:00:00Z,2011-09-12T00:00:00Z,2011-12-14T00:00:00Z,-5,-7.46,0.352,0.352,0.30573,0.04627,13.14,2012-07-27T00:00:00Z,14:06:59,1
393-000000038,795,393,National Archives and Records Administration,Holdings Management System (HMS),283,38.2,Deployment to Regional Archives #9,0,onTime,2011-12-12T00:00:00Z,2012-02-17T00:00:00Z,2012-02-17T00:00:00Z,2012-02-17T00:00:00Z,0,0,0.352,0.352,0.3005,0.0515,14.63,2012-07-27T00:00:00Z,14:06:59,2
393-000000038,795,393,National Archives and Records Administration,Holdings Management System (HMS),284,38.3,Deployment to Regional Archives #10,0,delay,2012-02-20T00:00:00Z,2012-04-27T00:00:00Z,2012-04-27T00:00:00Z,2012-03-05T00:00:00Z,-6,-8.96,0.352,0.352,0.3847,-0.0327,-9.29,2012-07-27T00:00:00Z,14:07:00,3
393-000000038,795,393,National Archives and Records Administration,Holdings Management System (HMS),285,38.4,Deployment to Regional Archives #11,0,delay,2012-04-30T00:00:00Z,2012-06-07T00:00:00Z,,,-56,-83.58,0.352,0.352,0.36456,-0.01256,-3.57,2012-07-27T00:00:00Z,14:07:00,4
393-000000038,795,393,National Archives and Records Administration,Holdings Management System (HMS),286,38.5,Deployment to Regional Archives #12,0,onTime,2012-06-09T00:00:00Z,2012-03-12T00:00:00Z,,,0,0,0.352,0.352,0.352,0,0,2012-07-27T00:00:00Z,14:07:00,5
393-000000008,790,393,National Archives and Records Administration,IT Infrastructure,287,8.1,MPLS and TIC Bandwidth Upgrade,1,delay,2011-01-10T00:00:00Z,2012-06-30T00:00:00Z,,,-62,-22.71,0.122,0.122,0.122,0,0,2012-07-27T00:00:00Z,14:07:00,1
393-000000008,790,393,National Archives and Records Administration,IT Infrastructure,288,8.2,IT System Certification and Accreditation (C and A),1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,0.991,0.991,0.9915,-5.00E-04,-0.05,2012-07-27T00:00:00Z,14:07:00,2
393-000000008,790,393,National Archives and Records Administration,IT Infrastructure,289,8.3,Continuous Technology Refresh,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,1.286,1.286,0.877,0.409,31.8,2012-07-27T00:00:00Z,14:07:00,3
024-000009102,134,24,Department of Homeland Security,A&O - Homeland Security Information Network (HSIN),290,174076,HSIN 3.0 DME,1,onTime,2011-01-09T00:00:00Z,2013-01-05T00:00:00Z,2013-01-04T00:00:00Z,2013-01-04T00:00:00Z,0,0,22.342,22.342,22.354,-0.012,-0.05,2012-08-22T00:00:00Z,04:14:13,1
024-000009102,134,24,Department of Homeland Security,A&O - Homeland Security Information Network (HSIN),291,174078,HS SLIC Consolidation,0,advance,2011-03-15T00:00:00Z,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,2011-01-12T00:00:00Z,29,11.84,2.5,1.6,1.6,0,0,2012-04-27T00:00:00Z,06:09:00,2
024-000009102,134,24,Department of Homeland Security,A&O - Homeland Security Information Network (HSIN),292,180318,Two Factor Authentication in Legacy,0,onTime,2011-02-02T00:00:00Z,2011-09-30T00:00:00Z,2011-08-30T00:00:00Z,2011-08-30T00:00:00Z,0,0,0.313,0.313,0.155,0.158,50.48,2012-02-24T00:00:00Z,14:10:03,3
024-000001226,155,24,Department of Homeland Security,DHS - HR IT,293,176174,EmpowHR Deployment,10,delay,2004-01-12T00:00:00Z,2014-01-10T00:00:00Z,2012-08-30T00:00:00Z,2012-08-30T00:00:00Z,-1,-0.27,2.5,0.404,0.404,0,0,2012-05-31T00:00:00Z,12:19:21,1
024-000001226,155,24,Department of Homeland Security,DHS - HR IT,294,176173,Reporting Tool Development,2,delay,2010-07-15T00:00:00Z,2012-07-15T00:00:00Z,2012-07-14T00:00:00Z,2012-07-14T00:00:00Z,-48,-6.58,1.793,1.793,1.793,0,0,2012-02-28T00:00:00Z,05:20:17,2
024-000001226,155,24,Department of Homeland Security,DHS - HR IT,295,177428,PAS,1,onTime,2011-07-22T00:00:00Z,2012-09-30T00:00:00Z,,,0,0,0.902,0.902,0.902,0,0,2012-06-29T00:00:00Z,13:29:16,3
024-000001226,155,24,Department of Homeland Security,DHS - HR IT,296,177431,HQ Survey Tool,1,delay,2010-07-06T00:00:00Z,2012-06-06T00:00:00Z,2012-06-06T00:00:00Z,2012-06-06T00:00:00Z,-86,-23.56,0.052,0.029,0.029,0,0,2012-04-30T00:00:00Z,04:43:00,4
024-000001226,155,24,Department of Homeland Security,DHS - HR IT,297,177429,NFC VPN,1,onTime,2011-10-24T00:00:00Z,2013-07-31T00:00:00Z,,,0,0,0.179,0.179,0.179,0,0,2012-02-28T00:00:00Z,05:20:17,5
024-000001226,155,24,Department of Homeland Security,DHS - HR IT,298,177430,Balanced Workforce Survey Tool,4,onTime,2011-09-30T00:00:00Z,2016-08-14T00:00:00Z,,,0,0,2.606,1.186,1.186,0,0,2012-02-28T00:00:00Z,05:20:17,6
024-000001226,155,24,Department of Homeland Security,DHS - HR IT,299,179485,USAJOBS 3.0,2,onTime,2010-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-29T00:00:00Z,2012-09-29T00:00:00Z,0,0,3.317,2.571,2.754,-0.183,-7.12,2012-04-30T00:00:00Z,04:43:00,7
024-000001226,155,24,Department of Homeland Security,DHS - HR IT,300,181049,Human Capital Segment Architecture,1,onTime,2010-01-10T00:00:00Z,2011-09-29T00:00:00Z,2011-09-29T00:00:00Z,2011-09-29T00:00:00Z,0,0,1.459,1.459,1.714,-0.255,-17.48,2012-01-31T00:00:00Z,13:53:42,8
024-000007333,168,24,Department of Homeland Security,FEMA - Logistics Supply Chain Management (LSCMS),301,177433,Acquire IOC,2,onTime,2010-12-29T00:00:00Z,2012-12-31T00:00:00Z,,,0,0,2.36,2.159,2.159,0,0,2012-05-29T00:00:00Z,04:22:06,73331
024-000007333,168,24,Department of Homeland Security,FEMA - Logistics Supply Chain Management (LSCMS),302,177436,COTS Upgrade,1,delay,2010-09-29T00:00:00Z,2012-08-31T00:00:00Z,,,-30,-4.27,29.199,29.199,29.199,0,0,2012-08-21T00:00:00Z,04:12:28,73332
024-000007333,168,24,Department of Homeland Security,FEMA - Logistics Supply Chain Management (LSCMS),303,177432,SOA GSS Integration,1,delay,2011-01-06T00:00:00Z,2012-06-30T00:00:00Z,,,-62,-15.7,0.631,0.631,0.631,0,0,2012-08-21T00:00:00Z,04:12:28,73333
024-000007333,168,24,Department of Homeland Security,FEMA - Logistics Supply Chain Management (LSCMS),304,180172,Data Center Migration,2,delay,2010-01-11T00:00:00Z,2012-08-31T00:00:00Z,,,-30,-4.48,3.36,3.36,3.246,0.114,3.39,2012-08-21T00:00:00Z,04:12:28,73334
024-000005397,141,24,Department of Homeland Security,ICE - DRO Electronic Health Record (EHR) System,305,173988,eHR Acquisition & Validation Study,1,onTime,2010-01-06T00:00:00Z,2011-07-15T00:00:00Z,2011-07-15T00:00:00Z,2011-07-15T00:00:00Z,0,0,1.419,1.419,1.418,0.001,0.07,2011-10-31T00:00:00Z,05:35:31,5002
024-000005397,141,24,Department of Homeland Security,ICE - DRO Electronic Health Record (EHR) System,306,174012,eHR Acquisition & Deployment,1,delay,2012-08-06T00:00:00Z,2014-07-06T00:00:00Z,,,-88,-12.15,111.6,26.859,26.859,0,0,2012-08-19T00:00:00Z,10:06:04,5001
023-000003302,603,23,General Services Administration,Data.gov,307,,Data.gov FY12 DME Program Management,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,1,1,1,0,0,2012-07-13T00:00:00Z,07:40:31,12-Jan
023-000003302,603,23,General Services Administration,Data.gov,308,,Data.gov FY12 DME Infrastructure,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,1.93,1.93,1.93,0,0,2012-07-13T00:00:00Z,07:40:31,12-Feb
023-000003302,603,23,General Services Administration,Data.gov,309,,Data.gov FY12 DME Communities & Outreach,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,1.2,1.2,1.2,0,0,2012-07-13T00:00:00Z,07:40:32,12-Mar
023-000003302,603,23,General Services Administration,Data.gov,310,,Data.gov FY12 DME Innovations,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,0.15,0.15,0.15,0,0,2012-07-13T00:00:00Z,07:40:32,12-Apr
023-000001226,613,23,General Services Administration,Human Capital Information Technology Services,311,,HCITS Transformation,2,delay,2010-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-08-20T00:00:00Z,2012-08-20T00:00:00Z,-11,-1.94,132.003,0.760537,0.731822,0.028715,3.78,2012-07-13T00:00:00Z,07:56:41,1
023-000001151,610,23,General Services Administration,GSA FMLOB Shared Service/Pegasys,312,,FY11 BAAR Investment,2,onTime,2010-01-10T00:00:00Z,2012-03-30T00:00:00Z,2012-03-30T00:00:00Z,2012-03-30T00:00:00Z,0,0,21.058,21.058,19.49,1.568,7.45,2012-07-13T00:00:00Z,09:02:42,1
023-000001151,610,23,General Services Administration,GSA FMLOB Shared Service/Pegasys,313,,FY11 BAAR Bill Design,1,onTime,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0,0,2.5,2.5,2,0.5,20,2012-06-19T00:00:00Z,13:15:42,2
023-000001151,610,23,General Services Administration,GSA FMLOB Shared Service/Pegasys,314,,FY11 Reporting Strategy Business Objects,0,delay,2011-01-01T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,-336,-123.53,1.5,1.5,1.5,0,0,2012-01-19T00:00:00Z,09:52:49,3
023-000001151,610,23,General Services Administration,GSA FMLOB Shared Service/Pegasys,315,,FY11 Enterprise Service Business,0,onTime,2011-01-03T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0,0,0.25,0.25,0.25,0,0,2011-02-11T00:00:00Z,10:27:07,4
023-000001151,610,23,General Services Administration,GSA FMLOB Shared Service/Pegasys,316,,FY11 Testing Support,0,onTime,2011-01-01T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0,0,0.684,0.684,0.6,0.084,12.28,2011-02-11T00:00:00Z,10:27:07,5
